county,year,crop,metric,value
Nandi,2020,maize,production_tons,165866.0
Nandi,2021,maize,area_ha,26825.0
Nandi,2021,maize,production_tons,64175.0
Nandi,2022,maize,area_ha,45674.0
Nandi,2022,maize,production_tons,89447.0
Nandi,2023,maize,area_ha,67429.0
Nandi,2023,maize,production_tons,159556.0
Nandi,2024,maize,area_ha,57812.0
Nandi,2024,maize,production_tons,179389.0
Narok,2019,maize,area_ha,111559.0
Narok,2019,maize,production_tons,210005.0
Narok,2020,maize,area_ha,116717.0
Narok,2020,maize,production_tons,202855.0
Narok,2021,maize,area_ha,121809.0
Narok,2021,maize,production_tons,280273.0
Narok,2022,maize,area_ha,127460.0
Narok,2022,maize,production_tons,271028.0
Narok,2023,maize,area_ha,132396.0
Narok,2023,maize,production_tons,314403.0
Narok,2024,maize,area_ha,122245.0
Narok,2024,maize,production_tons,224236.0
Nyamira,2019,maize,area_ha,46870.0
Nyamira,2019,maize,production_tons,80693.0
Nyamira,2020,maize,area_ha,42730.0
Nyamira,2020,maize,production_tons,67563.0
Nyamira,2021,maize,area_ha,43134.0
Nyamira,2021,maize,production_tons,61937.0
Nyamira,2022,maize,area_ha,48280.0
Nyamira,2022,maize,production_tons,76884.0
Nyamira,2023,maize,area_ha,48175.0
Nyamira,2023,maize,production_tons,63424.0
Nyamira,2024,maize,area_ha,48580.0
Nyamira,2024,maize,production_tons,89599.0
Nyandarua,2019,maize,area_ha,13800.0
Nyandarua,2019,maize,production_tons,27795.0
Nyandarua,2020,maize,area_ha,17660.0
Nyandarua,2020,maize,production_tons,39170.0
Nyandarua,2021,maize,area_ha,14070.0
Nyandarua,2021,maize,production_tons,27958.0
Nyandarua,2022,maize,area_ha,20060.0
Nyandarua,2022,maize,production_tons,26836.0
Nyandarua,2023,maize,area_ha,20716.0
Nyandarua,2023,maize,production_tons,46617.0
Nyandarua,2024,maize,area_ha,14987.0
Nyandarua,2024,maize,production_tons,28698.0
Nyeri,2019,maize,area_ha,28874.0
Nyeri,2019,maize,production_tons,29738.0
Nyeri,2020,maize,area_ha,26521.0
Nyeri,2020,maize,production_tons,26251.0
Nyeri,2021,maize,area_ha,27067.0
Nyeri,2021,maize,production_tons,19382.0
