county,year,maize_area_ha,maize_production_tons,beans_area_ha,beans_production_tons,sorghum_area_ha,sorghum_production_tons,green_grams_area_ha,green_grams_production_tons,irish_potatoes_area_ha,irish_potatoes_production_tons,tea_made_tea_kg,tea_green_leaf_tea_kg,coffee_total_area_ha,maize_yield_t_per_ha,beans_yield_t_per_ha,sorghum_yield_t_per_ha,green_grams_yield_t_per_ha,irish_potatoes_yield_t_per_ha,rainfall_mm,avg_temp_c,soil_ph
Kakamega/Vihiga,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3191292.3,,,,,,,,2945.95,19.014098360655737,5.6
Kericho,2019,32050.0,85815.0,17528.0,14935.0,675.0,1215.0,0.0,0.0,559.0,5031.0,85540642.0,,,2.677535101404056,0.8520652670013692,1.8,,9.0,2668.85,20.31772602739726,5.7
Kericho,2020,34397.0,92731.0,18492.0,11812.0,735.0,1440.0,0.0,0.0,595.0,4601.0,102580820.0,435968487.0,,2.69590371253307,0.6387627081981397,1.9591836734693877,,7.7327731092436975,3088.7599999999998,19.567049180327867,5.7
Kericho,2021,35068.0,98746.0,18222.0,20543.0,764.0,1375.0,0.0,0.0,618.0,6798.0,102421046.0,435289445.0,,2.8158435040492757,1.1273735045549336,1.799738219895288,,11.0,2000.8,19.95194520547945,5.7
Kericho,2022,40530.0,85975.0,22151.0,21815.0,954.0,1288.0,0.0,0.0,546.0,6006.0,101868782.0,432942324.0,4842.0,2.1212681963977302,0.9848313845876032,1.350104821802935,,11.0,1880.69,19.823616438356165,5.7
Kericho,2023,40643.0,111130.0,23261.0,25336.0,985.0,1064.0,0.0,0.0,704.0,8518.0,104846091.0,445595887.0,5099.0,2.734296188765593,1.0892051072610809,1.0802030456852791,,12.099431818181818,3064.59,20.238246575342465,5.7
Kericho,2024,43908.0,134358.0,24477.0,26675.0,1049.0,1228.0,0.0,0.0,773.0,5745.0,105842845.0,449832091.1,5457.0,3.0599890680513804,1.0897985864280753,1.1706387035271688,,7.432082794307892,2975.64,20.182377049180328,5.7
Kiambu,2019,31447.0,83239.0,25926.0,19538.0,100.0,59.0,22.0,17.0,19740.0,90000.0,38109742.0,,,2.6469615543613063,0.7536064182673764,0.59,0.7727272727272727,4.5592705167173255,738.74,19.523671232876712,5.8
Kiambu,2020,31528.0,43259.0,26284.0,27700.0,0.0,0.0,16.0,16.0,16403.0,112743.0,47998529.0,203993750.0,,1.372081958893682,1.0538730786790442,,1.0,6.873315856855453,1017.42,18.562131147540985,5.8
Kiambu,2021,30371.0,25563.0,24911.0,13383.0,0.0,0.0,16.0,14.0,18955.0,123904.0,41439513.0,176117931.0,,0.841691086892101,0.5372325478704187,,0.875,6.53674492218412,601.18,19.021095890410958,5.8
Kiambu,2022,29174.0,19655.0,24263.0,10819.0,0.0,0.0,16.0,8.0,19156.0,97539.0,39427425.0,167566554.0,20369.0,0.6737163227531363,0.445905287886906,,0.5,5.0918250156608895,477.37,19.06986301369863,5.8
Kiambu,2023,30537.0,29692.0,24288.0,10007.0,28.0,25.0,20.0,13.0,19206.0,102645.0,38992088.0,165716372.0,20369.0,0.9723286504895701,0.412014163372859,0.8928571428571429,0.65,5.344423617619494,809.61,19.244164383561642,5.8
Kiambu,2024,33534.0,39471.0,24711.0,13144.0,10.0,14.0,16.0,9.0,21327.0,126725.0,42699819.8,181474234.3,19746.0,1.1770441939524066,0.5319088664967019,1.4,0.5625,5.941998405776715,878.58,19.287322404371583,5.8
Kilifi,2019,72499.0,45769.0,52.0,31.0,408.0,580.0,5857.0,2890.0,0.0,0.0,,,,0.6313052593828881,0.5961538461538461,1.4215686274509804,0.49342666894314496,,1186.16,26.598657534246577,6.8
Kilifi,2020,71782.0,44585.0,50.0,18.0,403.0,76.0,7819.0,2581.0,0.0,0.0,,,,0.6211167144966705,0.36,0.18858560794044665,0.33009336232254766,,1026.45,25.789180327868852,6.8
Kilifi,2021,53943.0,26176.0,50.0,18.0,391.0,112.0,9307.0,1910.0,0.0,0.0,,,,0.4852529521902749,0.36,0.2864450127877238,0.20522187600730632,,704.07,26.508383561643836,6.8
Kilifi,2022,72748.0,47780.0,58.0,35.0,372.0,42.0,8046.0,2111.0,0.0,0.0,,,,0.6567878154725904,0.603448275862069,0.11290322580645161,0.26236639323887645,,804.57,26.33849315068493,6.8
Kilifi,2023,95674.0,81813.0,57.0,19.0,243.0,45.0,9260.0,2778.0,0.0,0.0,,,,0.8551226038422142,0.3333333333333333,0.18518518518518517,0.3,,1497.52,26.17468493150685,6.8
Kilifi,2024,51393.0,41907.0,3.0,1.0,26.0,6.0,3201.0,1071.0,0.0,0.0,,,,0.8154223337808651,0.3333333333333333,0.23076923076923078,0.3345829428303655,,820.3100000000001,26.53502732240437,6.8
Kirinyaga,2019,30406.0,45036.0,20470.0,7190.0,88.0,59.0,281.0,110.0,504.0,3442.0,17941192.0,,,1.481155035190423,0.3512457254518808,0.6704545454545454,0.3914590747330961,6.829365079365079,1153.5,21.037945205479453,5.5
Kirinyaga,2020,30505.0,40281.0,19216.0,8994.0,93.0,108.0,202.0,53.0,505.0,5845.0,22592750.0,96019187.0,,1.3204720537616783,0.4680474604496253,1.1612903225806452,0.2623762376237624,11.574257425742575,1365.57,19.889098360655737,5.5
